Kaptive version	Database name	Database version	Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492335.1_ASM649233v1_genomic	KL14	K14	Typeable		98.63%	100.00%	-1	17 / 17 (100.00%)	KL14_01_wzc,99.45%,100.00%;KL14_16_pgt1,100.00%,100.00%;KL14_14_gpi,100.00%,100.00%;KL14_07_wzy_KL14,100.00%,100.00%;KL14_17_pgm,100.00%,100.00%;KL14_05_wzx_KL14,100.00%,100.00%;KL14_04_gna2,100.00%,100.00%;KL14_03_wza,100.00%,100.00%;KL14_09_gtr25,100.00%,100.00%;KL14_15_gne1,100.00%,100.00%;KL14_13_ugd,98.10%,100.00%;KL14_06_gtr32,100.00%,100.00%;KL14_08_gtr33,100.00%,100.00%;KL14_10_gtr5,100.00%,100.00%;KL14_12_galU,98.63%,100.00%;KL14_11_itrA2,99.52%,100.00%;KL14_02_wzb,99.30%,100.00%	?	0		0 / 17 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.21%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492375.1_ASM649237v1_genomic	KL49	K49	Typeable	+-	99.89%	100.00%	0	27 / 28 (96.43%)	KL49_01_wzc,100.00%,100.00%;KL49_26_gpi,100.00%,100.00%;KL49_28_pgm,100.00%,100.00%;KL49_14_wzy_KL49,100.00%,100.00%;KL49_04_gna2,100.00%,100.00%;KL49_16_wzx_KL49,100.00%,100.00%;KL49_25_ugd,100.00%,100.00%;KL49_05_lgaA,100.00%,100.00%;KL49_07_lgaC,100.00%,100.00%;KL49_06_lgaB,99.74%,100.00%;KL49_19_fnlC,100.00%,100.00%;KL49_18_fnlB,100.00%,100.00%;KL49_03_wza,100.00%,100.00%;KL49_08_lgaD,100.00%,100.00%;KL49_15_gtr100,100.00%,100.00%;KL49_17_fnlA,100.00%,100.00%;KL49_27_gne1,100.00%,100.00%;KL49_22_itrB2,100.00%,100.00%;KL49_11_elaA,100.00%,100.00%;KL49_20_gtr20,100.00%,100.00%;KL49_24_galU,100.00%,100.00%;KL49_10_lgaF,100.00%,100.00%;KL49_13_elaC,100.00%,100.00%;KL49_12_elaB,99.56%,100.00%;KL49_09_lgaE,100.00%,100.00%;KL49_23_itrA3,100.00%,100.00%;KL49_02_wzb,100.00%,100.00%	?	1	KL54_20_qnr3,97.54%,100.00%	0 / 28 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492385.1_ASM649238v1_genomic	KL2	K2	Typeable		99.99%	100.00%	0	21 / 21 (100.00%)	KL2_01_wzc,100.00%,100.00%;KL2_20_gpi,100.00%,100.00%;KL2_12_kpsS1,100.00%,100.00%;KL2_22_pgm,100.00%,100.00%;KL2_04_gna2,100.00%,100.00%;KL2_19_ugd,100.00%,100.00%;KL2_11_wzx_KL2,100.00%,100.00%;KL2_06_psaB,100.00%,100.00%;KL2_03_wza,100.00%,100.00%;KL2_08_psaD,100.00%,100.00%;KL2_10_psaF,100.00%,100.00%;KL2_21_gne1,100.00%,100.00%;KL2_05_psaA,99.70%,100.00%;KL2_13_wzy_KL2,100.00%,100.00%;KL2_18_galU,100.00%,100.00%;KL2_16_gtr5,100.00%,100.00%;KL2_15_gtr4,100.00%,100.00%;KL2_07_psaC,100.00%,100.00%;KL2_14_gtr3,100.00%,100.00%;KL2_09_psaE,100.00%,100.00%;KL2_02_wzb,100.00%,100.00%	?	0		0 / 21 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492395.1_ASM649239v1_genomic	KL40	K40	Typeable		99.99%	100.00%	0	19 / 19 (100.00%)	KL40_01_wzc,99.86%,100.00%;KL40_14_gdr,100.00%,100.00%;KL40_17_gpi,100.00%,100.00%;KL40_19_pgm,100.00%,100.00%;KL40_09_wzy_KL40,100.00%,100.00%;KL40_04_gna2,100.00%,100.00%;KL40_16_ugd,100.00%,100.00%;KL40_06_mnaB,100.00%,100.00%;KL40_07_wzx_KL40,100.00%,100.00%;KL40_10_gtr86,100.00%,100.00%;KL40_08_gtr85,100.00%,100.00%;KL40_05_mnaA,100.00%,100.00%;KL40_03_wza,100.00%,100.00%;KL40_12_itrB1,100.00%,100.00%;KL40_18_gne3,100.00%,100.00%;KL40_11_fnr2,100.00%,100.00%;KL40_15_galU,100.00%,100.00%;KL40_13_atr3,100.00%,100.00%;KL40_02_wzb,100.00%,100.00%	?	0		0 / 19 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492405.1_ASM649240v1_genomic	KL23	unknown	Untypeable	+-	98.93%	100.00%	3	17 / 21 (80.95%)	KL23_12_kpsS1,100.00%,100.00%;KL23_13_wzy_KL23,100.00%,100.00%;KL23_04_gna2,100.00%,100.00%;KL23_11_wzx_KL2,100.00%,100.00%;KL23_18_ugd,99.29%,100.00%;KL23_06_psaB,99.74%,100.00%;KL23_08_psaD,100.00%,100.00%;KL23_14_gtr46,100.00%,100.00%;KL23_10_psaF,100.00%,100.00%;KL23_03_wza,99.20%,100.00%;KL23_05_psaA,100.00%,100.00%;KL23_17_galU,100.00%,100.00%;KL23_15_gtr9,100.00%,100.00%;KL23_07_psaC,99.57%,100.00%;KL23_16_itrA2,99.52%,100.00%;KL23_09_psaE,100.00%,100.00%;KL23_02_wzb,100.00%,100.00%	?	4	KL213_01_wzc,100.00%,100.00%;KL218_19_gpi,100.00%,100.00%;KL196_16_pgm,99.34%,100.00%;KL238_22_gne1,100.00%,100.00%	0 / 21 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492425.1_ASM649242v1_genomic	KL125	K125	Untypeable	+-	99.99%	99.99%	-4	19 / 23 (82.61%)	KL125_01_wzc,100.00%,100.00%;KL125_18_gdr,100.00%,100.00%;KL125_10_wzy_KL125,100.00%,100.00%;KL125_04_gna2,100.00%,100.00%;KL125_20_ugd,100.00%,100.00%;KL125_06_mnaB,99.76%,100.00%;KL125_07_wzx_KL125,100.00%,100.00%;KL125_09_gtr199,100.00%,100.00%;KL125_03_wza,100.00%,100.00%;KL125_13_fnlC,100.00%,100.00%;KL125_12_fnlB,100.00%,100.00%;KL125_05_mnaA,100.00%,100.00%;KL125_11_fnlA,100.00%,100.00%;KL125_08_gtr198,100.00%,100.00%;KL125_16_itrB3,100.00%,100.00%;KL125_15_fnr1,100.00%,100.00%;KL125_19_galU,100.00%,100.00%;KL125_17_Atr7,100.00%,100.00%;KL125_02_wzb,100.00%,100.00%	?	4	KL217_26_gpi,100.00%,100.00%;KL217_28_pgm,100.00%,100.00%;KL217_19_gtr31,100.00%,100.00%;KL215_22_gne1,100.00%,100.00%	0 / 23 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492475.1_ASM649247v1_genomic	KL195	unknown	Typeable	+-	99.91%	96.28%	-977	21 / 23 (91.30%)	KL195_01_wzc,100.00%,100.00%;KL195_20_gpi,99.64%,100.00%;KL195_23_pgm,99.12%,100.00%;KL195_04_gna2,100.00%,100.00%;KL195_19_ugd,100.00%,100.00%;KL195_09_wzx_KL11,100.00%,100.00%;KL195_15_tle,100.00%,100.00%;KL195_12_gtr27,100.00%,100.00%;KL195_05_rmlB,100.00%,100.00%;KL195_11_wzy_KL11,99.72%,100.00%;KL195_16_gtr29,100.00%,100.00%;KL195_03_wza,99.68%,100.00%;KL195_06_rmlD,100.00%,100.00%;KL195_10_gtr26,100.00%,100.00%;KL195_07_rmlA,100.00%,100.00%;KL195_18_galU,100.00%,100.00%;KL195_13_gtr28,100.00%,100.00%;KL195_17_itrA3,100.00%,100.00%;KL195_14_atr6,100.00%,100.00%;KL195_08_rmlC,100.00%,100.00%;KL195_02_wzb,100.00%,100.00%	?	1	KL11_21_pgt1,99.84%,100.00%	0 / 23 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492495.1_ASM649249v1_genomic	KL42	K42	Untypeable	?+-!	98.71%	99.60%	n/a	15 / 20 (75.00%)	KL42_08_psaG,99.45%,100.00%;KL42_10_psaF,100.00%,100.00%;KL42_05_psaA,99.70%,100.00%;KL42_09_psaH,99.67%,100.00%;KL42_07_psaC,99.13%,100.00%;KL42_18_gpi,99.82%,100.00%;KL42_12_kpsS2,100.00%,100.00%;KL42_20_pgm,99.34%,100.00%;KL42_17_ugd,100.00%,100.00%;KL42_11_wzx_KL33,100.00%,92.42%,partial;KL42_19_gne1,100.00%,100.00%;KL42_13_wzy_KL42,100.00%,100.00%;KL42_16_galU,98.63%,100.00%;KL42_14_gtr5,99.28%,100.00%;KL42_15_itrA2,100.00%,100.00%	?	5	KL169_01_wzc,99.46%,100.00%;KL81_04_gna2,100.00%,100.00%;KL81_06_psaB,100.00%,100.00%;KL93_03_wza,100.00%,100.00%;KL225_02_wzb,100.00%,100.00%	0 / 20 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.37%,98.73%	KL42_11_wzx_KL33,100.00%,92.42%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492505.1_ASM649250v1_genomic	KL23	unknown	Typeable	+-	99.82%	100.00%	0	20 / 21 (95.24%)	KL23_01_wzc,99.59%,100.00%;KL23_19_gpi,99.46%,100.00%;KL23_12_kpsS1,100.00%,100.00%;KL23_13_wzy_KL23,100.00%,100.00%;KL23_04_gna2,100.00%,100.00%;KL23_18_ugd,100.00%,100.00%;KL23_11_wzx_KL2,100.00%,100.00%;KL23_06_psaB,99.74%,100.00%;KL23_03_wza,100.00%,100.00%;KL23_08_psaD,99.18%,100.00%;KL23_14_gtr46,100.00%,100.00%;KL23_10_psaF,100.00%,100.00%;KL23_05_psaA,100.00%,100.00%;KL23_20_gne1,98.82%,100.00%;KL23_17_galU,100.00%,100.00%;KL23_15_gtr9,100.00%,100.00%;KL23_07_psaC,100.00%,100.00%;KL23_16_itrA2,100.00%,100.00%;KL23_09_psaE,100.00%,100.00%;KL23_02_wzb,100.00%,100.00%	?	1	KL196_16_pgm,99.34%,100.00%	0 / 21 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492515.1_ASM649251v1_genomic	KL200	unknown	Typeable	+-	97.92%	91.52%	-1966	18 / 20 (90.00%)	KL200_01_wzc,99.45%,100.00%;KL200_17_gpi,99.28%,100.00%;KL200_20_pgm,98.90%,99.56%;KL200_16_ugd,99.52%,100.00%;KL200_05_wzx_KL32,98.10%,100.00%;KL200_04_gna2,99.29%,100.00%;KL200_11_ugd3,99.23%,100.00%;KL200_07_gtr68,98.38%,100.00%;KL200_08_wzy_KL32,98.09%,100.00%;KL200_03_wza,98.66%,100.00%;KL200_18_gne1,98.50%,98.14%;KL200_06_gtr67,97.70%,100.00%;KL200_13_orf_KL32,98.61%,100.00%;KL200_15_galU,98.63%,100.00%;KL200_10_gtr70,99.22%,100.00%;KL200_09_gtr69,98.05%,100.00%;KL200_14_itrA2,99.10%,100.00%;KL200_02_wzb,97.90%,100.00%	?	1	KL100_12_atr9,100.00%,100.00%	0 / 20 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492525.1_ASM649252v1_genomic	KL18	unknown	Untypeable	+-	99.91%	100.00%	4	16 / 19 (84.21%)	KL18_01_wzc,100.00%,100.00%;KL18_14_gdr,100.00%,100.00%;KL18_09_wzy_KL17,100.00%,100.00%;KL18_04_gna1,100.00%,100.00%;KL18_06_wzx_KL17,100.00%,100.00%;KL18_16_ugd,99.29%,100.00%;KL18_10_gtr40,100.00%,100.00%;KL18_13_qhbB,100.00%,100.00%;KL18_03_wza,100.00%,100.00%;KL18_08_gtr39,100.00%,100.00%;KL18_05_gne2,100.00%,100.00%;KL18_07_alt1,100.00%,100.00%;KL18_15_galU,99.25%,100.00%;KL18_12_qhbC,100.00%,100.00%;KL18_11_itrA1,100.00%,100.00%;KL18_02_wzb,100.00%,100.00%	?	3	KL40_17_gpi,100.00%,100.00%;KL125_23_pgm,99.78%,100.00%;KL191_21_gne1,100.00%,100.00%	0 / 19 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492575.1_ASM649257v1_genomic	KL13	K13	Untypeable	+-	99.80%	100.00%	280	29 / 31 (93.55%)	KL13_01_wzc,99.86%,100.00%;KL13_26_gdr,100.00%,100.00%;KL13_29_gpi,100.00%,100.00%;KL13_15_gtr59,99.62%,100.00%;KL13_31_pgm,100.00%,100.00%;KL13_04_gna2,100.00%,100.00%;KL13_28_ugd,100.00%,100.00%;KL13_05_lgaA,100.00%,100.00%;KL13_22_gtr31,99.50%,100.00%;KL13_16_wzx_KL12,97.76%,99.83%;KL13_06_lgaB,99.74%,100.00%;KL13_07_lgaC,100.00%,100.00%;KL13_03_wza,99.73%,100.00%;KL13_20_fnlB,100.00%,100.00%;KL13_21_fnlC,100.00%,100.00%;KL13_18_gtr30,99.47%,100.00%;KL13_08_lgaD,100.00%,100.00%;KL13_19_fnlA,99.71%,100.00%;KL13_30_gne1,100.00%,100.00%;KL13_24_itrB3,100.00%,100.00%;KL13_23_fnr1,99.37%,100.00%;KL13_10_lgaF,100.00%,100.00%;KL13_27_galU,100.00%,100.00%;KL13_14_aciD,100.00%,100.00%;KL13_12_aciB,100.00%,100.00%;KL13_11_aciA,100.00%,100.00%;KL13_09_lgaE,100.00%,100.00%;KL13_25_atr7,100.00%,100.00%;KL13_02_wzb,99.32%,100.00%	?	2	KL212_17_wzy_KL12,100.00%,100.00%;KL241_14_aciC,99.67%,100.00%	0 / 31 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492585.1_ASM649258v1_genomic	KL45	K45	Typeable		99.35%	100.00%	1	17 / 17 (100.00%)	KL45_01_wzc,100.00%,100.00%;KL45_16_pgt1,99.51%,100.00%;KL45_14_gpi,100.00%,100.00%;KL45_08_wzy_KL45,100.00%,100.00%;KL45_05_wzx_KL45,99.77%,100.00%;KL45_04_gna2,100.00%,100.00%;KL45_13_ugd,100.00%,100.00%;KL45_17_pgm,99.34%,100.00%;KL45_10_gtr50,100.00%,100.00%;KL45_09_gtr93,99.73%,100.00%;KL45_03_wza,99.73%,100.00%;KL45_15_gne1,100.00%,100.00%;KL45_07_atr13,90.85%,100.00%;KL45_12_galU,100.00%,100.00%;KL45_06_gtr89,100.00%,100.00%;KL45_11_itrA3,100.00%,100.00%;KL45_02_wzb,100.00%,100.00%	?	0		0 / 17 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492615.1_ASM649261v1_genomic	KL14	K14	Untypeable	+-	98.67%	100.00%	0	15 / 17 (88.24%)	KL14_01_wzc,100.00%,100.00%;KL14_16_pgt1,99.84%,100.00%;KL14_14_gpi,99.46%,100.00%;KL14_07_wzy_KL14,100.00%,100.00%;KL14_17_pgm,99.78%,100.00%;KL14_05_wzx_KL14,100.00%,100.00%;KL14_04_gna2,100.00%,100.00%;KL14_03_wza,100.00%,100.00%;KL14_15_gne1,98.82%,100.00%;KL14_06_gtr32,100.00%,100.00%;KL14_08_gtr33,98.41%,100.00%;KL14_12_galU,100.00%,100.00%;KL14_10_gtr5,99.64%,100.00%;KL14_11_itrA2,100.00%,100.00%;KL14_02_wzb,100.00%,100.00%	?	2	KL205_18_ugd,100.00%,100.00%;KL95_14_gtr25,99.71%,100.00%	0 / 17 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492625.1_ASM649262v1_genomic	KL22	K3-v1	Typeable	?!	99.97%	100.00%	n/a	23 / 23 (100.00%)	KL22_01_wzc,100.00%,100.00%;KL22_08_wzx_KL3,100.00%,100.00%;KL22_04_gna3,100.00%,100.00%;KL22_03_wza,100.00%,100.00%;KL22_07_dgaC,100.00%,100.00%;KL22_10_gtr6,100.00%,87.71%,truncated;KL22_05_dgaA,100.00%,100.00%;KL22_06_dgaB,100.00%,100.00%;KL22_09_atr2,100.00%,100.00%;KL22_02_wzb,99.30%,100.00%;KL22_21_pgm,100.00%,92.27%;KL22_20_pgt1,100.00%,100.00%;KL22_18_gpi,100.00%,100.00%;KL22_17_ugd,100.00%,100.00%;KL22_11_gtr7,100.00%,100.00%;KL22_12_wzy_KL3,100.00%,100.00%;KL22_13_gtr8,100.00%,100.00%;KL22_19_gne1,100.00%,100.00%;KL22_16_galU,100.00%,100.00%;KL22_14_gtr9,100.00%,100.00%;KL22_15_itrA2,100.00%,100.00%;KL22_10_gtr6,100.00%,13.06%,truncated;KL22_21_pgm,100.00%,8.24%,partial	?	0		0 / 23 (0.00%)		0		KL22_10_gtr6,100.00%,87.71%,truncated;KL22_10_gtr6,100.00%,13.06%,truncated;KL22_21_pgm,100.00%,8.24%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492635.1_ASM649263v1_genomic	KL37	K37	Untypeable	+-	99.65%	100.00%	0	15 / 17 (88.24%)	KL37_01_wzc,97.81%,100.00%;KL37_16_pgt1,99.84%,100.00%;KL37_14_gpi,99.82%,100.00%;KL37_17_pgm,99.78%,100.00%;KL37_05_wzx_KL14,100.00%,100.00%;KL37_04_gna2,100.00%,100.00%;KL37_03_wza,100.00%,100.00%;KL37_09_gtr77,100.00%,100.00%;KL37_07_gtr76,100.00%,100.00%;KL37_08_wzy_KL37,100.00%,100.00%;KL37_15_gne1,98.53%,100.00%;KL37_06_gtr75,100.00%,100.00%;KL37_10_gtr9,100.00%,100.00%;KL37_11_itrA2,99.03%,100.00%;KL37_02_wzb,100.00%,100.00%	?	2	KL30_13_ugd,100.00%,100.00%;KL30_12_galU,99.32%,100.00%	0 / 17 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492675.1_ASM649267v1_genomic	KL149	unknown	Untypeable	+-	99.72%	92.68%	-1966	18 / 22 (81.82%)	KL149_01_wzc,98.77%,100.00%;KL149_22_pgm,98.90%,99.56%;KL149_04_gna1,100.00%,100.00%;KL149_06_wzx_KL9,100.00%,100.00%;KL149_08_gtr21,99.75%,100.00%;KL149_09_gtr22,100.00%,100.00%;KL149_03_wza,100.00%,100.00%;KL149_12_fnlC,100.00%,100.00%;KL149_11_fnlB,100.00%,100.00%;KL149_10_fnlA,100.00%,100.00%;KL149_13_gtr20,100.00%,100.00%;KL149_05_gne2,100.00%,100.00%;KL149_20_gne1,100.00%,98.14%;KL149_07_wzy_KL9,100.00%,100.00%;KL149_15_itrB2,100.00%,100.00%;KL149_14_qnr3,99.04%,100.00%;KL149_16_itrA3,100.00%,100.00%;KL149_02_wzb,100.00%,100.00%	?	3	KL42_18_gpi,99.46%,100.00%;KL159_17_ugd,98.12%,99.61%;KL109_17_galU,100.00%,100.00%	0 / 22 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492685.1_ASM649268v1_genomic	KL69	unknown	Typeable		100.00%	100.00%	0	24 / 24 (100.00%)	KL69_01_wzc,100.00%,100.00%;KL69_23_pgt1,100.00%,100.00%;KL69_21_gpi,100.00%,100.00%;KL69_24_pgm,100.00%,100.00%;KL69_04_gna2,100.00%,100.00%;KL69_20_ugd,100.00%,100.00%;KL69_11_wzx_KL10,100.00%,100.00%;KL69_03_wza,100.00%,100.00%;KL69_10_fdtB,100.00%,100.00%;KL69_13_gtr143,100.00%,100.00%;KL69_14_wzy_KL69,100.00%,100.00%;KL69_05_rmlB,100.00%,100.00%;KL69_16_gtr77,100.00%,100.00%;KL69_22_gne1,100.00%,100.00%;KL69_15_gtr144,100.00%,100.00%;KL69_19_galU,100.00%,100.00%;KL69_06_rmlA,100.00%,100.00%;KL69_12_gtr142,100.00%,100.00%;KL69_17_gtr9,100.00%,100.00%;KL69_18_itrA2,100.00%,100.00%;KL69_08_fdtC,100.00%,100.00%;KL69_02_wzb,100.00%,100.00%;KL69_09_fdtD,100.00%,100.00%;KL69_07_fdtA,100.00%,100.00%	?	0		0 / 24 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492705.1_ASM649270v1_genomic	KL19	K19-Wzy/Atr25-GI1	Typeable		99.30%	100.00%	0	17 / 17 (100.00%)	KL19_01_wzc,100.00%,100.00%;KL19_12_gdr,100.00%,100.00%;KL19_15_gpi,100.00%,100.00%;KL19_17_pgm,100.00%,100.00%;KL19_04_gna1,100.00%,100.00%;KL19_14_ugd,100.00%,100.00%;KL19_06_wzx_KL19,100.00%,100.00%;KL19_11_qhbB,100.00%,100.00%;KL19_08_gtr2,100.00%,100.00%;KL19_03_wza,100.00%,100.00%;KL19_07_gtr41,100.00%,100.00%;KL19_05_gne2,100.00%,100.00%;KL19_16_gne1,100.00%,100.00%;KL19_13_galU,100.00%,100.00%;KL19_10_qhbC,99.55%,100.00%;KL19_09_itrA1,100.00%,100.00%;KL19_02_wzb,100.00%,100.00%	?	0		0 / 17 (0.00%)		0			wzy-GI1,100.00%,100.00%;atr25-GI,87.14%,100.00%
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492715.1_ASM649271v1_genomic	KL50	unknown	Typeable	+-	99.07%	100.00%	0	20 / 21 (95.24%)	KL50_01_wzc,100.00%,100.00%;KL50_18_gpi,100.00%,100.00%;KL50_08_wzx_KL50,100.00%,100.00%;KL50_21_pgm,100.00%,100.00%;KL50_04_gna3,100.00%,100.00%;KL50_17_ugd,100.00%,100.00%;KL50_11_gtr101,100.00%,100.00%;KL50_12_wzy_KL50,100.00%,100.00%;KL50_03_wza,100.00%,100.00%;KL50_07_dgaC,100.00%,100.00%;KL50_10_dmaA1,100.00%,100.00%;KL50_20_atr15,100.00%,100.00%;KL50_13_gtr102,100.00%,100.00%;KL50_19_gne1,100.00%,100.00%;KL50_05_dgaA,100.00%,100.00%;KL50_16_galU,100.00%,100.00%;KL50_14_gtr5,100.00%,100.00%;KL50_09_atr14,100.00%,100.00%;KL50_06_dgaB,100.00%,100.00%;KL50_02_wzb,100.00%,100.00%	?	1	KL150_15_itrA2,100.00%,100.00%	0 / 21 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492735.1_ASM649273v1_genomic	KL125	K125	Untypeable	+-	99.90%	99.97%	-8	13 / 23 (56.52%)	KL125_01_wzc,100.00%,100.00%;KL125_10_wzy_KL125,99.77%,100.00%;KL125_06_mnaB,99.76%,100.00%;KL125_04_gna2,100.00%,100.00%;KL125_07_wzx_KL125,100.00%,100.00%;KL125_09_gtr199,100.00%,100.00%;KL125_03_wza,100.00%,100.00%;KL125_12_fnlB,100.00%,100.00%;KL125_05_mnaA,100.00%,100.00%;KL125_11_fnlA,100.00%,100.00%;KL125_08_gtr198,100.00%,100.00%;KL125_22_gne1,99.41%,100.00%;KL125_02_wzb,100.00%,100.00%	?	10	KL241_27_gdr,99.84%,100.00%;KL12_29_gpi,100.00%,100.00%;KL12_31_pgm,100.00%,100.00%;KL241_29_ugd,100.00%,100.00%;KL13_22_gtr31,100.00%,100.00%;KL241_22_fnlC,98.94%,100.00%;KL241_25_itrB3,100.00%,100.00%;KL13_23_fnr1,100.00%,100.00%;KL241_28_galU,100.00%,100.00%;KL73_25_atr7,100.00%,100.00%	0 / 23 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492775.1_ASM649277v1_genomic	KL2	K2	Typeable		98.79%	100.00%	-1	21 / 21 (100.00%)	KL2_01_wzc,100.00%,100.00%;KL2_20_gpi,98.92%,100.00%;KL2_12_kpsS1,100.00%,100.00%;KL2_22_pgm,99.12%,100.00%;KL2_04_gna2,100.00%,100.00%;KL2_11_wzx_KL2,100.00%,100.00%;KL2_19_ugd,99.29%,100.00%;KL2_06_psaB,100.00%,100.00%;KL2_08_psaD,100.00%,100.00%;KL2_03_wza,98.39%,100.00%;KL2_10_psaF,100.00%,100.00%;KL2_05_psaA,99.40%,100.00%;KL2_21_gne1,99.41%,99.90%;KL2_13_wzy_KL2,99.69%,100.00%;KL2_18_galU,100.00%,100.00%;KL2_16_gtr5,100.00%,100.00%;KL2_15_gtr4,100.00%,100.00%;KL2_07_psaC,99.57%,100.00%;KL2_14_gtr3,99.51%,100.00%;KL2_09_psaE,100.00%,100.00%;KL2_02_wzb,100.00%,100.00%	?	0		0 / 21 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492785.1_ASM649278v1_genomic	KL2	K2	Typeable		98.89%	100.00%	0	21 / 21 (100.00%)	KL2_01_wzc,99.31%,100.00%;KL2_20_gpi,99.28%,100.00%;KL2_12_kpsS1,100.00%,100.00%;KL2_22_pgm,100.00%,100.00%;KL2_04_gna2,100.00%,100.00%;KL2_19_ugd,99.76%,100.00%;KL2_11_wzx_KL2,100.00%,100.00%;KL2_06_psaB,100.00%,100.00%;KL2_03_wza,99.73%,100.00%;KL2_08_psaD,100.00%,100.00%;KL2_10_psaF,100.00%,100.00%;KL2_05_psaA,99.40%,100.00%;KL2_18_galU,100.00%,100.00%;KL2_13_wzy_KL2,99.69%,100.00%;KL2_21_gne1,99.12%,100.00%;KL2_16_gtr5,100.00%,100.00%;KL2_15_gtr4,100.00%,100.00%;KL2_07_psaC,100.00%,100.00%;KL2_14_gtr3,99.51%,100.00%;KL2_09_psaE,100.00%,100.00%;KL2_02_wzb,100.00%,100.00%	?	0		0 / 21 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
